Reference,Reference_Alternative,Reason_for_Exclusion,Notes,Occurrences
"Breitenbach, A. T., Paitz, R. T., & Bowden, R. M. (2020). Let's do the time-lag again: Ecologically relevant incubation temperatures delay the response of sex-determining genes in a turtle with TSD. Integrative and Comparative Biology, 60(S1), E24.",NA,No hatchling sex ratio data,NA,2
"Bringsoe, H. (1996). Rodoret terrapin (Trachemys scripta elegans) - en velegnet begynderskildpadde? Nordisk Herpetologisk Forening, 39(6), 130-144.",NA,No access,NA,1
"Broderick, A. C., Godley, B. J., & Hays, G. C. (2001). Metabolic heating and the prediction of sex ratios for green turtles (Chelonia mydas). Physiological and Biochemical Zoology, 74(2), 161-170.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Bujes, C. S., & Verrastro, L. (2009). Nest temperature, incubation time, hatching, and emergence in the Hilaire's side-necked turtle (Phrynops hilarii). Herpetological Conservation and Biology, 4(3), 306-312.",NA,No hatchling sex ratio data,NA,3
"Bull, J. J. (1987). Temperature-sensitive periods of sex determination in a lizard: Similarities with turtles and crocodilians. Journal of Experimental Zoology, 241(1), 143-148.",NA,Squamate,NA,1
"Bull, J. J. (2008). Sex determination: Are two mechanisms better than one? Journal of Biosciences, 32(1), 5-8.",NA,No hatchling sex ratio data,NA,2
"Burger, J. (1991). Effects of incubation temperature on behavior of hatchling pine snakes: Implications for reptilian distribution. Behavioral Ecology and Sociobiology, 28(4), 297-303.",NA,Squamate,NA,2
"Burger, J. (1998). Effects of incubation temperature on hatchling pine snakes: Implications for survival. Behavioral Ecology and Sociobiology, 43(1), 11-18.",NA,Squamate,NA,1
"Burger, J., Gochfeld, M., Jeitner, C., Zappalorti, R., Pittfield, T., & DeVito, E. (2017). Arsenic, cadmium, chromium, lead, mercury and selenium concentrations in pine snakes (Pituophis melanoleucus) from the New Jersey pine barrens. Archives of Environmental Contamination and Toxicology, 72(4), 586-595.",NA,Squamate,NA,2
"Burke, R. L. (1993). Adaptive value of sex determination mode and hatchling sex ratio bias in reptiles. Copeia, 1993(3), 854-859.",NA,No hatchling sex ratio data,NA,1
"Caillouet, C. W., Jr., & Duronslet, M. J. (1985). Sea turtle sex ratios and incubation temperature: Are we on the right track? Marine Turtle Newsletter, 35, 14-16.",NA,No hatchling sex ratio data,NA,1
"Calderón-Peña, R., Betancourt-Avila, R., Rodríguez-Fajardo, E., Martínez-González, Y., & Azanza-Ricardo, J. (2020). Sex ratio of the green sea turtle Chelonia mydas (Testudines: Cheloniidae) hatchlings in the Guanahacabibes Peninsula, Cuba. Revista de Biología Tropical, 68(3), 777-784.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"Campos, Z. (1993). Effect of habitat on survival of eggs and sex ratio of hatchlings of Caiman crocodilus yacare in the Pantanal, Brazil. Journal of Herpetology, 27(2), 127-132.",NA,Crocodilian,NA,1
"Candan, O. & Kolankaya, D. (2014). Temperature profiles and sex ratio estimation for green turtle (Chelonia mydas) hatchlings on Sugozu Beaches. Hacettepe Journal of Biology and Chemistry, 42(4), 531-536.","Candan, O. & Kolankaya, D. (2014). Sugözü Kumsalları’ndaki̇ Sıcaklık Profilleri ve Yeşil Kaplumbağa (Chelonia mydas) Yavrularında Eşey Oranı Tahmini. Hacettepe Journal of Biology and Chemistry, 42(4), 531-536.",Estimated hatchling sex ratios with temperature data,NA,2
"Canesini, G., Stoker, C., Galoppo, G. H., Durando, M. L., Tschopp, M. V., Luque, E. H., Muñoz-de-Toro, M. M., & Ramos, J. G. (2018). Temperature- vs. estrogen-induced sex determination in Caiman latirostris embryos: Both females, but with different expression patterns of key molecules involved in ovarian development. General and Comparative Endocrinology, 259, 176-188.",NA,Crocodilian,NA,1
"Carreras, C., Pascual, M., Tomás, J., Marco, A., Hochscheid, S., Castillo, J. J., Gozalbes, P., Parga, M., Piovano, S., & Cardona, L. (2018). Sporadic nesting reveals long distance colonisation in the philopatric loggerhead sea turtle (Caretta caretta). Scientific Reports, 8(1), 1435.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"Carter, A. W., Bowden, R. M., & Paitz, R. T. (2016). Can yolk estrogens affect sex determination when incubation temperatures fluctuate in a species with TSD? Integrative and Comparative Biology, 56(S1), E31.",NA,No hatchling sex ratio data,NA,2
"Caut, S., Guirlet, E., Jouquet, P., & Girondot, M. (2006). Influence of nest location and yolkless eggs on the hatching success of leatherback turtle clutches in French Guiana. Canadian Journal of Zoology, 84(6), 908-915.",NA,No hatchling sex ratio data,NA,4
"Cavallo, C., Dempster, T., Kearney, M. R., Kelly, E., Booth, D., Hadden, K. M., & Jessop, T. S. (2015). Predicting climate warming effects on green turtle hatchling viability and dispersal performance. Functional Ecology, 29(6), 768-778.",NA,No hatchling sex ratio data,NA,4
"Charruau, P. (2012). Microclimate of American crocodile nests in Banco Chinchorro biosphere reserve, Mexico: Effect on incubation length, embryos survival and hatchlings sex. Journal of Thermal Biology, 37(1), 6-14.",NA,Crocodilian,NA,1
"Chen, Y., Zhao, B., Sun, B.-J., Wang, Y., & Du, W.-G. (2011). Between-population variation in body size and growth rate of hatchling Asian yellow pond turtles, Mauremys mutica. The Herpetological Journal, 21(2), 113-116.",NA,No hatchling sex ratio data,NA,2
"Chitty, J., & Raftery, A. (2013). Essentials of tortoise medicine and surgery. Wiley-Blackwell, Hoboken, New Jersey.",NA,No new data,NA,4
"Chojnowski, J. L., & Braun, E. L. (2009). Candidate genes in a turtle with temperature-dependent sex determination. Integrative and Comparative Biology, 49(S1), E212.",NA,No hatchling sex ratio data,NA,2
"Chu, C. T., Booth, D. T., & Limpus, C. J. (2008). Estimating the sex ratio of loggerhead turtle hatchlings at Mon Repos rookery (Australia) from nest temperatures. Australian Journal of Zoology, 56(1), 57-64.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Ciofi, C., & Swingland, I. R. (1997). Environmental sex determination in reptiles. Applied Animal Behaviour Science, 51(3-4), 251-265.",NA,No new data,NA,5
"Clusella Trullas, S., & Paladino, F. V. (2007). Micro-environment of olive ridley turtle nests deposited during an aggregated nesting event. Journal of Zoology, 272(4), 367-376.",NA,No hatchling sex ratio data,NA,6
"Colbert, P. L., Spencer, R.-J., & Janzen, F. J. (2010). Mechanism and cost of synchronous hatching. Functional Ecology, 24(1), 112-121.",NA,No hatchling sex ratio data,NA,4
"Congdon, J. D., Fischer, R. U., & Gatten, R. E., Jr. (1995). Effects of incubation temperatures on characteristics of hatchling American alligators. Herpetologica, 51(4), 497-504.",NA,Crocodilian,NA,2
"Conley, A. J., Elf, P., Corbin, C. J., Dubowsky, S., Fivizzani, A., & Lang, J. W. (1997). Yolk steroids decline during sexual differentiation in the alligator. General and Comparative Endocrinology, 107(2), 191-200.",NA,Crocodilian,NA,3
"Cook, C. E., McCluskey, A. M., & Chambers, R. M. (2018). Impacts of invasive Phragmites australis on diamondback terrapin nesting in Chesapeake Bay. Estuaries and Coasts, 41(4), 966-973.",NA,No hatchling sex ratio data,NA,1
"Cordero, G. A., Karnatz, M. L., Svendsen, J. C., & Gangloff, E. J. (2017). Effects of low-oxygen conditions on embryo growth in the painted turtle, Chrysemys picta. Integrative Zoology, 12(2), 148-156.",NA,No hatchling sex ratio data,NA,2
"Cree, A., Thompson, M. B., & Daugherty, C. H. (1995). Tuatara sex determination. Nature, 375(6532), 543.",NA,Tuatara,NA,1
"Crews, D. (1996). Temperature-dependent sex determination: The interplay of steroid hormones and temperature. Zoological Science, 13(1), 1-13.",NA,No new data,NA,2
"Crews, D. (2003). Sex determination: Where environment and genetics meet. Evolution & Development, 5(1), 50-55.",NA,No hatchling sex ratio data,NA,1
"Crews, D., Bergeron, J. M., & McLachlan, J. A. (1995). The role of estrogen in turtle sex determination and the effect of PCBs. Environmental Health Perspectives, 103, 73-77.",NA,No new data,NA,1
"Crews, D., Fleming, A., Willingham, E., Baldwin, R., & Skipper, J. K. (2001). Role of steroidogenic factor 1 and aromatase in temperature-dependent sex determination in the red-eared slider turtle. Journal of Experimental Zoology, 290(6), 597-606.",NA,No new data,NA,3
"Crews, D., Lou, W., Fleming, A., & Ogawa, S. (2006). From gene networks underlying sex determination and gonadal differentiation to the development of neural networks regulating sociosexual behavior. Brain Research, 1126(1), 109-121.",NA,No hatchling sex ratio data,NA,1
"Dang, W., Zhang, W., & Du, W.-G. (2015). Incubation temperature affects the immune function of hatchling soft-shelled turtles, Pelodiscus sinensis. Scientific Reports, 5, 10594.",NA,No hatchling sex ratio data,NA,3
"Danni, T. M. S., & Alho, C. J. R. (1985). Histological study of sexual differentiation in recently eclosed turtles Podocnemis expansa Pelomedusidae. Revista Brasileira de Biologia, 45(3), 365-368.",NA,No access,Likely data already included in database,2
"Davy, C. M., Paterson, J. E., & Leifso, A. E. (2014). When righting is wrong: Performance measures require rank repeatability for estimates of individual fitness. Animal Behaviour, 93, 15-23.",NA,No hatchling sex ratio data,Authors sexed Apalone spinifera but do not provide data,5
"de Solla, S. R., & Martin, P. A. (2011). Absorption of current use pesticides by snapping turtle (Chelydra serpentina) eggs in treated soil. Chemosphere, 85(5), 820-825.",NA,No hatchling sex ratio data,NA,2
"Deeming, D. C. (2004). Perspectives in reptilian incubation. In D. C. Deeming (Ed.), Reptilian incubation: Environment, evolution, and behaviour (pp. 265-270). Nottingham University Press, Nottingham, United Kingdom.",NA,No hatchling sex ratio data,NA,1
"DeGregorio, B. A., & Southwood Williard, A. (2011). Incubation temperatures and metabolic heating of relocated and in situ loggerhead sea turtle (Caretta caretta) nests at a northern rookery. Chelonian Conservation and Biology, 10(1), 54-61.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"dei Marcovaldi, M. A. G., López-Mendilaharsu, M., Santos, A. S., Lopez, G. G., Godfrey, M. H., Tognin, F., Baptistotte, C., Thomé, J. C., Dias, A. C. C., de Castilhos, J. C., & Fuentes, M. M. P. B. (2016). Identification of loggerhead male producing beaches in the south Atlantic: Implications for conservation. Journal of Experimental Marine Biology and Ecology, 477, 14-22.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"dei Marcovaldi, M. A. G., Santos, A. J. B., Santos, A. S., Soares, L. S., Lopez, G. G., Godfrey, M. H., López-Mendilaharsu, M., & Fuentes, M. M. P. B. (2014). Spatio-temporal variation in the incubation duration and sex ratio of hawksbill hatchlings: Implication for future management. Journal of Thermal Biology, 44, 70-77.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"Delmas, V., Bonnet, X., Girondot, M., & Prévot-Julliard, A.-C. (2008). Varying hydric conditions during incubation influence egg water exchange and hatchling phenotype in the red-eared slider turtle. Physiological and Biochemical Zoology, 81(3), 345-355.",NA,No hatchling sex ratio data,NA,3
"Demas, S., Duronslet, M., Wachtel, S., Caillouet, C., & Nakamura, D. (1990). Sex-specific DNA in reptiles with temperature sex determination. Journal of Experimental Zoology, 253(3), 319-324.",NA,No hatchling sex ratio data,NA,3
"Desvages, G., & Pieau, C. (1991). Steroid metabolism in gonads of turtle embryos as a function of the incubation temperature of eggs. Journal of Steroid Biochemistry and Molecular Biology, 39(2), 203-213.",NA,No hatchling sex ratio data,NA,2
"Desvages, G., & Pieau, C. (1992). Time required for temperature-induced changes in gonadal aromatase activity and related gonadal structure in turtle embryos. Differentiation, 52(1), 13-18.",NA,No hatchling sex ratio data,NA,2
"Desvages, G., Girondot, M., & Pieau, C. (1993). Sensitive stages for the effects of temperature on gonadal aromatase activity in embryos of the marine turtle Dermochelys coriacea. General and Comparative Endocrinology, 92(1), 54-61.",NA,No hatchling sex ratio data,NA,4
"Díaz-Hernández, V., Dominguez-Mora, P., Chino-Palomo, L., Marmolejo-Valencia, A., Harfush, M., & Merchant-Larios, H. (2020). Spatiotemporal expression of Foxl2 and Dmrt1 before, during, and after sex determination in the sea turtle Lepidochelys olivacea. Sexual Development, 13(5-6), 286-296.",NA,No hatchling sex ratio data,NA,4
"Díaz-Hernández, V., Marmolejo-Valencia, A., Harfush, M., & Merchant-Larios, H. (2012). Formation of the genital ridges is preceded by a domain of ectopic Sox9-expressing cells in Lepidochelys olivacea. Developmental Biology, 361(1), 156-166.",NA,No hatchling sex ratio data,Mention 80% of stage 28 embryos were differentiated,3
"Díaz-Hernández, V., Vázquez-Gómez, A., Marmolejo-Valencia, A., Montaño, L. M., & Merchant-Larios, H. (2017). 17β-Estradiol modulates cell proliferation of medullary cords during ovarian differentiation of the Lepidochelys olivacea sea turtle. Developmental Biology, 431(2), 263-271.",NA,No hatchling sex ratio data,Gives general overview of gonads from each treatment,3
"Díaz-Paniagua, C., Andreu, A. C., & Keller, C. (2006). Effects of temperature on hatching success in field incubating nests of spur-thighed tortoises, Testudo graeca. The Herpetological Journal, 16(3), 249-257.",NA,No hatchling sex ratio data,NA,4
"Diez, C. E., & van Dam, R. P. (2003). Sex ratio of an immature hawksbill seaturtle aggregation at Mona Island, Puerto Rico. Journal of Herpetology, 37(3), 533-537.",NA,No hatchling sex ratio data,NA,2
"Dima, A. O. M., Solihin, D. D., Manalu, W., & Boediono, A. (2015). Expression profile of sex determination gene, bioreproduction, phenotype, and locomotory performances of olive ridley, Lepidochelys olivacea induced by different incubation temperature. Jurnul Ilmu dan Teknologi Kelautan Tropis, 7(1), 143-155.","Dima, A. O. M., Solihin, D. D., Manalu, W., & Boediono, A. (2015). Profil ekspresi gen determinasi seks, bioreproduksi, fenotipe, dan performa lokomotori penyu lekang (Lepidochelys olivacea) yang diinduksi pada suhu inkubasi berbeda. Jurnul Ilmu dan Teknologi Kelautan Tropis, 7(1), 143-155.",No hatchling sex ratio data,NA,2
"Dimond, M. T. (1985). Some effects of temperature on turtle egg production. In S. C. Goel & C. B. L. Srivastava (Eds.), Recent advances in developmental biology of animals (pp. 35-39). Indian Society of Developmental Biologists, Poona.",NA,No hatchling sex ratio data,NA,1
"Ding, G.-H., Yang, J., Wang, J., & Ji, X. (2012). Offspring sex in a TSD gecko correlates with an interaction between incubation temperature and yolk steroid hormones. Naturwissenschaften, 99(12), 999-1006.",NA,Squamate,NA,1
"Dodd, K. L., & Wibbels, T. (2006). Development and use of real-time PCR for examining Sox9 expression in the red-eared slider turtle. Integrative and Comparative Biology, 46(S1), E189.",NA,No hatchling sex ratio data,NA,3
"Dodd, K. L., Murdock, C., & Wibbels, T. (2004). Clutch-specific variation of sex ratios in a reptile with temperature-dependent sex determination. Integrative and Comparative Biology, 44(6), 690.",NA,No hatchling sex ratio data,NA,1
"Doody, J. S., Guarino, E., Georges, A., Corey, B., Murray, G., & Ewert, M. (2006). Nest site choice compensates for climate effects on sex ratios in a lizard with environmental sex determination. Evolutionary Ecology, 20(4), 307-330.",NA,Squamate,NA,2
"Dormer, J., Old, J. M., Van Dyke, J. U., & Spencer, R.-J. (2016). Incubation temperature affects development order of morphological features and staging criteria in turtle embryos. Journal of Zoology, 299(4), 284-294.",NA,No hatchling sex ratio data,NA,3
"Du, W.-G., & Feng, J.-H. (2008). Phenotypic effects of thermal mean and fluctuations on embryonic development and hatchling traits in a lacertid lizard, Takydromus septentrionalis. Journal of Experimental Zoology Part A, 309(3), 138-146.",NA,Squamate,NA,1
"Du, W.-G., & Ji, X. (2003). The effects of incubation thermal environments on size, locomotor performance and early growth of hatchling soft-shelled turtles, Pelodiscus sinensis. Journal of Thermal Biology, 28(4), 279-286.",NA,No hatchling sex ratio data,NA,3
"Du, W.-G., Zheng, R.-Q., & Shu, L. (2006). The influence of incubation temperature on morphology, locomotor performance, and cold tolerance of hatchling Chinese three-keeled pond turtles, Chinemys reevesii. Chelonian Conservation and Biology, 5(2), 294-299.",NA,No hatchling sex ratio data,NA,1
"Durando, M., Canesini, G., Cocito, L. L., Galoppo, G. H., Zayas, M. A., Luque, E. H., & Muñoz-de-Toro, M. (2016). Histomorphological changes in testes of broad-snouted caimans (Caiman latirostris) associated with in ovo exposure to endocrine-disrupting chemicals. Journal of Experimental Zoology Part A, 325(1), 84-96.",NA,Crocodilian,NA,1
"Eiby, Y. A., & Booth, D. T. (2009). The effects of incubation temperature on the morphology and composition of Australian Brush-turkey (Alectura lathami) chicks. Journal of Comparative Physiology B, 179(7), 875-882.",NA,Bird,NA,1
"Eisemberg, C. C., Machado Balestra, R. A., Famelli, S., Pereira, F. F., Diniz Bernardes, V. C., & Vogt, R. C. (2016). Vulnerability of giant South American turtle (Podocnemis expansa) nesting habitat to climate-change-induced alterations to fluvial cycles. Tropical Conservation Science, 9(4), 1-12.",NA,No hatchling sex ratio data,NA,3
"El Mouden, E. H., Znari, M., & Pieau, C. (2001). Effects of incubation temperature on embryonic development and sex determination in the north African agamid lizard, Agama impalearis. Herpetological Journal, 11(3), 101-108.",NA,Squamate,NA,1
"Elf, P. K. (2003). Yolk steroid hormones and sex determination in reptiles with TSD. General and Comparative Endocrinology, 132(3), 349-355.",NA,No new data,NA,4
"Elf, P. K., & Fivizzani, A. J. (2002). Changes in sex steroid levels in yolks of the leghorn chicken, Gallus domesticus, during embryonic development. Journal of Experimental Zoology, 293(6), 594-600.",NA,Bird,NA,2
"Elf, P. K., Lang, J. W., & Fivizzani, A. J. (2001). Dynamics of exogenous 3H estradiol uptake in turtle eggs during development. American Zoologist, 41(6), 1436.",NA,No hatchling sex ratio data,NA,2
"Elf, P. K., Lang, J. W., & Fivizzani, A. J. (2002). Dynamics of yolk steroid hormones during development in a reptile with temperature-dependent sex determination. General and Comparative Endocrinology, 127(1), 34-39.",NA,No hatchling sex ratio data,NA,3
"Elf, P. K., Lang, J. W., & Fivizzani, A. J. (2002). Yolk hormone levels in the eggs of snapping turtles and painted turtles. General and Comparative Endocrinology, 127(1), 26-33.",NA,No hatchling sex ratio data,NA,4
"Elf, P., Allsteadt, J., Lang, J., & Fivizzani, A. (2001). The role of yolk steroid hormones in reptile sex determination. In H. J. T. Goos, R. K. Rastogi, H. Vaudry, & R. Pierantoni (Eds.), Perspective in comparative endocrinology: Unity and diversity (pp. 211-217). Monduzzi, Bologna, Italy.",NA,No access,Likely no new data,2
"Elphick, M. J., & Shine, R. (1999). Sex differences in optimal incubation temperatures in a scincid lizard species. Oecologia, 118(4), 431-437.",NA,Squamate,NA,1
