"""Database.csv"" metadata",,
Stage_Last_Application,Integer,Developmental stage at which the chemical treatment was last applied
Day_Last_Application,Integer,Days since beginning of incubation at which the chemical treatment was last applied
Number_Clutches_Experiment,Integer,Total number of clutches used in reference
Number_Clutches_Treatment,Integer,Number of clutches used in specific data row
Clutch_ID,Integer,Unique numbers of each clutch used in specific data row
Total_Incubated_Experiment,Integer,Total number of eggs used in reference
Total_Incubated_Treatment,Integer,Number of eggs used in specific data row
Total_Hatched,Integer,Number of hatchlings produced
Proportion_Hatching,Numeric,Proportion of eggs producing hatchlings
Mean_Incubation_Duration,Numeric,Mean time in days between beginning of incubation and hatching
Incubation_Standard_Error,Numeric,Standard error of mean incubation duration
Incubation_Standard_Deviation,Numeric,Standard deviation of mean incubation duration
Min_Incubation_Duration,Numeric,Shortest incubation duration in days
Max_Incubation_Duration,Numeric,Longest incubation duration in days
Sexing_Method,Endoscopy,Determined sex via endoscopic examination of gonads
,Histology,Determined sex via microscopic examination of gonad slides
,Hormone assay,Determined sex via radioimmunoassays of relevant hormones
,Macroscopy,Determined sex via macroscopic examination of gonad structure
,Morphometrics,"Determined sex via external morphometry (e.g., shell shape)"
,RT-qPCR,Determined sex via relative expression of sex-linked genes
,Secondary characteristics,Determined sex via sexually dimorphic traits
Sexed_Condition,Dead,Sexed offspring that died naturally
,Live,Non-lethal sexing of live offspring
,Sacrificed,Lethal sexing of live offspring
Sexed_Age_Class,Adults,Sexed mature adults raised in captivity from known incubation conditions
,Embryos,Sexed embryos prior to completion of development
,Hatchlings,Sexed individuals <1 year after hatching
,Juveniles,Sexed individuals >1 year old but not yet sexually mature
Sexed_Age_Weeks,Numeric,Time in weeks between hatching and sexing procedure; indicates youngest age sexed if multiple ages sexed
,Text,Embryonic stage at which sexing procedure occurred; indicates earliest stage sexed if multiple stages sexed
Vouchers,0.5,Some voucher specimens deposited in collection
,1,All specimens deposited in collection
Total_Sexed,Numeric,Total number of individuals sexed
Males,Numeric,Number of individuals presenting testes
Females,Numeric,Number of individuals presenting ovaries
Intersex,Numeric,Number of individuals presenting intermediate gonads
Undetermined,Numeric,"Number of individuals unable to be sexed accurately (e.g., due to damage)"
Proportion_Male,Numeric,Proportion of sexed individuals presenting testes
Proportion_Female,Numeric,Proportion of sexed individuals presenting ovaries
Source,Text,Full citation of included reference in English or original language if no English version is available
Source_Alternate,Text,Full citation of included reference in a second language
WoS,Integer,Number of times reference occurred in Web of Science search results
Other,0,Reference found in Web of Science search results
,1,Reference found outside of Web of Science search results
Data_Location,Text,"Description of data location within reference (text, figures, tables, supplements, etc.)"
Data_Elsewhere,0,Data is not duplicated in any other reference within the database
,1,"Data represents a subset of data in another reference or the same data presented in a different format (e.g., sex ratios broken down by clutch vs by study year)"
,?,Data is thought to represent a subset of data in another reference or the same data presented in a different format
Notes,Text,"Additional notes on details in reference, data entered in database, etc."
,,
"""SDM.csv"" metadata",,
Order,Text,Order of study organism in data row
Family,Text,Family of study organism in data row
Genus,Text,Genus of study organism in data row
Species,Text,Species of study organism in data row
SDM,TSD,Species exhibits temperature-dependent sex determination
,GSD,Species exhibits genotypic sex determination
SDM_Confidence,0,SDM classification not confidently assigned
,1,SDM classification confidently assigned
Type,Ia,Species exhibits pattern Ia TSD
,II,Species exhibits pattern II TSD
,XY,Species exhibits male heterogamety
,ZW,Species exhibits female heterogamety
Type_Confidence,0,Type classification not confidently assigned
,1,Type classification confidently assigned
Source_1,Text,Full citation of reference supporting SDM classification
,"""Database.csv""","SDM classification based on data contained in ""Database.csv"""
Source_2,Text,Full citation of additional reference supporting SDM classification
Source_3,Text,Full citation of additional reference supporting SDM classification
Notes,Text,"Additional notes on details in sources, details behind confidence assignments, etc."
,,
"""Exclusions.csv"" metadata",,
Column,Value,Description
Reference,Text,Full citation of excluded reference in English or original language if no English version is available
Reference_Alternative,Text,Full citation of excluded reference in a second language
Reason_for_Exclusion,No access,Unable to obtain copy of reference
,Anuran,Study organism was of the order Anura
,Crocodilian,Study organism was of the order Crocodilia
,Bird,Study organism was of the class Aves
,Fish,Study organism was of the class Osteichthyes or Chondrichthyes
,Salamander,Study organism was of the order Caudata
,Squamate,Study organism was of the order Squamata
,Tuatara,Study organism was of the order Rhynchocephalia
,No hatchling sex ratio data,Reference did not contain data on proportions of male/female hatchlings or offspring - may contain data on adult sex ratios
,No new data,All data within reference were previously reported in another reference included in the database
,Estimated hatchling sex ratios,No direct measurement or observation of hatchling sex ratios - estimated with both incubation length and temperature data
,Estimated hatchling sex ratios with incubation length data,No direct measurement or observation of hatchling sex ratios - estimated with incubation length data
,Estimated hatchling sex ratios with temperature data,No direct measurement or observation of hatchling sex ratios - estimated with temperature data
Notes,Text,Additional data on reason for exclusion or details on manuscript
Occurrences,Integer,Number of times reference occurred in Web of Science search results
